City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,ginda,30.6945,78.4932,10.12,46,28,3.04,IN,1678031236
283,pisco,-13.7,-76.2167,25.03,73,0,2.57,PE,1678031236
284,kajaani,64.2273,27.7285,-7.97,62,75,2.06,FI,1678031236
285,itaituba,-4.2761,-55.9836,31.09,62,75,4.63,BR,1678031237
286,norsup,-16.0667,167.3833,26.12,83,99,2.09,VU,1678031237
287,kerema,-7.9631,145.7785,25.78,78,100,1.73,PG,1678031237
288,cherlak,54.155,74.8055,-8.83,95,98,2.18,RU,1678031238
289,cairns,-16.9167,145.7667,24.48,100,100,2.06,AU,1678031238
290,wukari,7.85,9.7833,40.07,21,70,1.26,NG,1678031239
291,severo-kurilsk,50.6789,156.125,-3.55,75,100,3.37,RU,1678031239
292,kudahuvadhoo,2.6708,72.8944,26.98,77,51,2.67,MV,1678031239
293,nikitinskiy,54.5845,86.0115,-5.54,91,100,2.53,RU,1678031240
294,chaparral,3.7232,-75.4832,27.01,64,93,1.46,CO,1678031240
295,sarangani,5.4033,125.4636,26.7,78,98,3.19,PH,1678031240
296,grindavik,63.8424,-22.4338,3.97,70,75,7.72,IS,1678031241
297,san joaquin,37.9333,-121.3011,6.72,89,100,0.0,US,1678031241
298,bombay,19.0144,72.8479,32.16,40,20,0.0,IN,1678031100
299,mangochi,-14.4782,35.2645,23.87,85,100,1.21,MW,1678031242
300,north ogden,41.3072,-111.9602,-0.61,83,20,2.06,US,1678031242
301,cap malheureux,-19.9842,57.6142,26.37,82,100,0.89,MU,1678031242
302,russell,32.3502,-85.1999,19.98,55,0,0.0,US,1678031126
303,san ramon de la nueva oran,-23.1322,-64.326,35.24,37,15,1.58,AR,1678031243
304,alice springs,-23.7,133.8833,22.75,35,0,2.06,AU,1678031004
305,rypefjord,70.6333,23.6667,-4.74,63,40,5.66,NO,1678031243
306,luebo,-5.35,21.4167,27.86,67,90,2.6,CD,1678031244
307,khani,41.9563,42.9566,5.76,91,100,2.16,GE,1678031245
308,geraldton,-28.7667,114.6,21.23,68,0,9.26,AU,1678031245
309,hofn,64.2539,-15.2082,-0.99,59,75,11.83,IS,1678031245
310,sakakah,29.9697,40.2064,31.76,19,9,2.82,SA,1678031127
311,qaqortoq,60.7167,-46.0333,2.39,92,76,2.8,GL,1678031246
312,shaowu,27.3409,117.4831,12.09,61,25,0.43,CN,1678031246
313,bilibino,68.0546,166.4372,-30.9,100,100,0.71,RU,1678031247
314,piacenza,45.0468,9.6994,16.53,53,0,1.03,IT,1678031247
315,margate,51.3813,1.3862,5.73,67,100,1.34,GB,1678031248
316,caravelas,-17.7125,-39.2481,29.03,62,47,3.44,BR,1678031248
317,amapa,1.0,-52.0,25.88,93,88,1.76,BR,1678031248
318,zwedru,6.0667,-8.1281,33.75,43,89,1.63,LR,1678031248
319,kuah,6.3265,99.8432,27.99,61,20,3.6,MY,1678031249
320,bafq,31.6128,55.4107,21.92,15,1,1.58,IR,1678031249
321,aksu,41.1231,80.2644,9.37,40,6,2.2,CN,1678031250
322,tallahassee,30.4383,-84.2807,23.94,50,20,3.09,US,1678031090
323,pangody,65.85,74.4859,-28.09,100,78,2.82,RU,1678031250
324,honiara,-9.4333,159.95,25.11,86,100,2.41,SB,1678031250
325,buta,2.7858,24.73,32.14,40,95,0.4,CD,1678031251
326,todos santos,23.45,-110.2167,23.91,72,0,2.82,MX,1678031251
327,iquitos,-3.7481,-73.2472,26.02,94,75,2.06,PE,1678031251
328,saint anthony,45.0205,-93.218,-0.59,80,100,2.06,US,1678031252
329,manokwari,-0.8667,134.0833,24.6,83,100,5.16,ID,1678031252
330,mahibadhoo,3.7833,72.9667,26.88,81,95,6.79,MV,1678031252
331,lac du bonnet,50.2536,-96.0612,-6.89,86,100,2.28,CA,1678031253
332,adrar,20.5022,-10.0711,32.04,9,0,3.19,MR,1678031253
333,nouakchott,18.0858,-15.9785,37.96,28,72,2.95,MR,1678031253
334,kasongo,-4.45,26.6667,25.29,79,73,1.67,CD,1678031254
335,benguela,-12.5763,13.4055,26.64,68,99,4.07,AO,1678031254
336,bambui,-20.0064,-45.9769,29.71,45,90,1.6,BR,1678031254
337,tateyama,34.9833,139.8667,8.39,89,100,5.93,JP,1678031255
338,shingu,33.7333,135.9833,7.9,84,44,2.15,JP,1678031255
339,port hardy,50.6996,-127.4199,4.1,87,100,6.17,CA,1678031134
340,maua,-23.6678,-46.4614,27.04,65,44,4.84,BR,1678031255
341,xinzhi,36.4989,111.7047,13.27,22,68,1.02,CN,1678031256
342,trairi,-3.2778,-39.2689,28.85,75,70,5.09,BR,1678030999
343,gizo,-8.103,156.8419,26.73,78,91,3.13,SB,1678031256
344,tokur,53.1333,132.9,-4.07,96,100,2.51,RU,1678031256
345,gamba,-2.65,10.0,28.05,75,66,3.94,GA,1678031257
346,mananara,-16.1667,49.7667,27.77,75,99,0.44,MG,1678031257
347,belmonte,-15.8631,-38.8828,28.18,67,78,2.79,BR,1678031257
348,mindif,10.3976,14.4363,39.55,6,50,4.66,CM,1678031258
349,taoudenni,22.6783,-3.9836,32.93,8,81,1.72,ML,1678031258
350,appingedam,53.3217,6.8583,6.66,78,100,3.58,NL,1678031258
351,te anau,-45.4167,167.7167,5.0,95,10,0.61,NZ,1678031259
352,villarrobledo,39.2699,-2.6012,12.15,43,100,5.78,ES,1678031259
353,san-pedro,4.7485,-6.6363,29.67,65,44,4.22,CI,1678031259
354,okhotsk,59.3833,143.3,-22.23,97,96,2.24,RU,1678031260
355,puerto baquerizo moreno,-0.9,-89.6,27.55,78,40,3.09,EC,1678031260
356,sur,22.5667,59.5289,25.48,56,2,2.64,OM,1678031261
357,el bagre,7.5927,-74.8086,28.86,72,98,0.8,CO,1678031261
358,ughelli,5.4899,6.0074,30.81,64,71,2.94,NG,1678031261
359,gorodovikovsk,46.0878,41.9335,7.68,82,52,3.99,RU,1678031262
360,deputatskiy,69.3,139.9,-30.27,100,100,0.65,RU,1678031262
361,yinchuan,38.4681,106.2731,8.59,19,28,1.73,CN,1678031262
362,karratha,-20.7377,116.8463,29.23,71,61,6.6,AU,1678031263
363,la palma,33.8464,-118.0467,12.25,84,100,0.89,US,1678031263
